HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4101.50.10.20","4","Other","[""pcs"",""kg""]","","","","",""
"4101.50.10.91","3","Of equine animals","[""pcs"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of bovine animals (including buffalo):","","","","","",""
"","4","Of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4101.50.20.00","5","Upper and lining","[""pcs""]","Free","","15%","",""
"4101.50.30.00","5","Other","[""pcs""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","4","Other:","","","","","",""
"4101.50.35.00","5","Of buffalo","[""pcs""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","5","Other:","","","","","",""
"4101.50.40.00","6","Vegetable pretanned","[""pcs""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.50.50.00","6","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.50.70.00","3","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90","1","Other, including butts, bends and bellies:","","","","","",""
"4101.90.10","2","Not pretanned","","Free","","10%","",""
"","3","Of bovine animals:","","","","","",""
"","4","Fresh or wet-salted:","","","","","",""
"4101.90.10.10","5","Butts and bends","[""pcs"",""kg""]","","","","",""
"4101.90.10.20","5","Other","[""pcs"",""kg""]","","","","",""
"4101.90.10.30","4","Other","[""pcs"",""kg""]","","","","",""
"4101.90.10.40","3","Of equine animals","[""pcs"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of bovine animals (including buffalo):","","","","","",""
"4101.90.35.00","4","Of buffalo","[""pcs""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4101.90.40.00","5","Vegetable pretanned","[""pcs""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90.50.00","5","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4101.90.70.00","3","Other","[""pcs""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4102","0","Raw skins of sheep or lambs (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment- dressed or further prepared), whether or not with wool on or split, other than those excluded by note 1(c) to this chapter:","","","","","",""
"4102.10","1","With wool on:","","","","","",""
"4102.10.10.00","2","Not pretanned","[""pcs"",""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"4102.10.20.00","3","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
"4102.10.30.00","3","Other","[""pcs"",""kg""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"","1","Without wool on:","","","","","",""
"4102.21.00","2","Pickled","","Free","","Free","",""
"4102.21.00.65","3","Not split","[""pcs"",""kg""]","","","","",""
"4102.21.00.95","3","Other","[""pcs"",""kg""]","","","","",""
"4102.29","2","Other:","","","","","",""
"4102.29.10","3","Not pretanned","","Free","","Free","",""
"4102.29.10.10","4","Hair sheep and cabretta skins","[""pcs"",""kg""]","","","","",""
"4102.29.10.90","4","Other","[""pcs"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"4102.29.20.00","4","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
"4102.29.30.00","4","Other","[""pcs"",""kg""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4103","0","Other raw hides and skins (fresh, or salted, dried, limed, pickled or otherwise preserved, but not tanned, parchment-dressed or further prepared), whether or not dehaired or split, other than those excluded by note 1(b) or 1(c) to this chapter:","","","","","",""
"4103.20","1","Of reptiles:","","","","","",""
"4103.20.10.00","2","Not pretanned","[""pcs"",""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"4103.20.20.00","3","Vegetable pretanned","[""pcs""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4103.20.30.00","3","Other","[""pcs""]","Free","","25%","",""
"4103.30","1","Of swine:","","","","","",""
"4103.30.10.00","2","Not pretanned","[""pcs"",""kg""]","Free","","Free","",""
"4103.30.20.00","2","Other","[""pcs""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4103.90","1","Other:","","","","","",""
"4103.90.11","2","Not pretanned","","Free","","Free","",""
"4103.90.11.30","3","Deer","[""pcs"",""kg""]","","","","",""
"4103.90.11.40","3","Of goats or kids","[""pcs"",""kg""]","","","","",""
"4103.90.11.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of goats or kids:","","","","","",""
"4103.90.12.00","4","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
"4103.90.13.00","4","Other","[""pcs"",""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4103.90.20.00","3","Other","[""kg""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4104","0","Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared:","","","","","",""
"","1","In the wet state (including wet-blue):","","","","","",""
"4104.11","2","Full grains, unsplit; grain splits:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.11.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.11.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.11.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.11.30.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.30.60","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4104.11.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.11.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.50","5","Other","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","6","Wet blues:","","","","","",""
"4104.11.50.30","7","Not split","[""pcs"",""kg""]","","","","",""
"","7","Split:","","","","","",""
"4104.11.50.40","8","Grains","[""pcs""]","","","","",""
"4104.11.50.70","8","Other","[""kg""]","","","","",""
"4104.11.50.80","6","Other","[""kg""]","","","","",""
"4104.19","2","Other:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.19.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.19.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.19.30.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4104.19.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.19.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.19.50","5","Other","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","6","Wet blues:","","","","","",""
"4104.19.50.30","7","Not split","[""pcs"",""kg""]","","","","",""
"","7","Split:","","","","","",""
"4104.19.50.40","8","Grains","[""pcs""]","","","","",""
"4104.19.50.70","8","Other","[""kg""]","","","","",""
"4104.19.50.80","6","Other","[""kg""]","","","","",""
"","1","In the dry state (crust):","","","","","",""
"4104.41","2","Full grains, unsplit; grain splits:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.41.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.41.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.41.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.41.30.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.30.60","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4104.41.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.41.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.41.50.00","5","Other","[""m<sup>2<\/sup>""]","3.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.49","2","Other:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.49.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.49.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.20.00","4","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"","3","Other:","","","","","",""
"4104.49.30","4","Buffalo","","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.49.30.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.30.60","5","Other","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4104.49.40","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4104.49.40.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.40.60","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4104.49.50.00","5","Other","[""m<sup>2<\/sup>""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4105","0","Tanned or crust skins of sheep or lambs, without wool on, whether or not split, but not further prepared:","","","","","",""
"4105.10","1","In the wet state (including wet-blue):","","","","","",""
"4105.10.10.00","2","Wet blues","[""m<sup>2<\/sup>""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4105.10.90.00","2","Other","[""m<sup>2<\/sup>""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4105.30.00.00","1","In the dry state (crust)","[""m<sup>2<\/sup>""]","2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106","0","Tanned or crust skins of other animals, without wool or hair on, whether or not split, but not further prepared:","","","","","",""
"","1","Of goats or kids:","","","","","",""
"4106.21","2","In the wet state (including wet-blue):","","","","","",""
"4106.21.10.00","3","Wet blues","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4106.21.90.00","3","Other","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4106.22.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Of swine:","","","","","",""
"4106.31","2","In the wet state (including wet-blue):","","","","","",""
"4106.31.10.00","3","Wet blues","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.31.90.00","3","Other","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.32.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.40.00.00","1","Of reptiles","[""m<sup>2<\/sup>""]","Free","","25%","",""
"","1","Other:","","","","","",""
"4106.91.00.00","2","In the wet state (including wet-blue)","[""m<sup>2<\/sup>""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4106.92.00.00","2","In the dry state (crust)","[""m<sup>2<\/sup>""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4107","0","Leather further prepared after tanning or crusting, including parchment-dressed leather, of bovine (including buffalo) or equine animals, without hair on, whether or not split, other than leather of heading 4114:","","","","","",""
"","1","Whole hides and skins:","","","","","",""
"4107.11","2","Full grains, unsplit:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.11.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.11.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.11.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.11.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.11.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.11.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.11.60","5","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.11.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.60.60","6","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4107.11.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.11.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.11.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.12","2","Grain splits:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.12.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.12.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.12.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.12.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.12.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.12.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.12.60","5","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.12.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.60.60","6","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4107.12.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.12.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.12.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.19","2","Other:","","","","","",""
"","3","Of bovines, and of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4107.19.10","4","Upper leather; lining leather","","Free","","15%","",""
"4107.19.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.19.20.00","5","Not fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"4107.19.30.00","5","Fancy","[""m<sup>2<\/sup>""]","3.6%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","30%","",""
"","3","Other:","","","","","",""
"4107.19.40.00","4","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","4","Other:","","","","","",""
"4107.19.50.00","5","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.19.60","5","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.60.10","6","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.60.50","6","Sole leather","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","5","Other:","","","","","",""
"4107.19.70","6","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.19.70.30","7","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.40","7","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.50","7","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.70.90","7","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.19.80.00","6","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other, including sides:","","","","","",""
"4107.91","2","Full grains, unsplit:","","","","","",""
"4107.91.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.91.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.91.60","4","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.91.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.60.50","5","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.91.70","5","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.91.70.30","6","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.40","6","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.50","6","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.70.90","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.91.80.00","5","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.92","2","Grain splits:","","","","","",""
"4107.92.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.92.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.92.60","4","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.60.50","5","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.92.70","5","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.70.30","6","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.40","6","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.50","6","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.90","6","Other","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.80.00","5","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.99","2","Other:","","","","","",""
"4107.99.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.99.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.99.60","4","Upper leather; sole leather","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.99.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
